Record Length,2.500000e+03,,  -0.064000000000,   0.34680,
Sample Interval,2.000000e-04,,  -0.063800000000,   0.34600,
Trigger Point,3.200000000000e+02,,  -0.063600000000,   0.34680,
,,,  -0.063400000000,   0.34680,
,,,  -0.063200000000,   0.34640,
,,,  -0.063000000000,   0.34640,
Source,CH1,,  -0.062800000000,   0.34640,
Vertical Units,V,,  -0.062600000000,   0.34680,
Vertical Scale,1.000000e-02,,  -0.062400000000,   0.34600,
Vertical Offset,-3.144000e-01,,  -0.062200000000,   0.34720,
Horizontal Units,s,,  -0.062000000000,   0.34640,
Horizontal Scale,5.000000e-02,,  -0.061800000000,   0.34640,
Pt Fmt,Y,,  -0.061600000000,   0.34680,
Yzero,0.000000e+00,,  -0.061400000000,   0.34640,
Probe Atten,1.000000e+00,,  -0.061200000000,   0.34720,
Model Number,TDS2012B,,  -0.061000000000,   0.34600,
Serial Number,C102158,,  -0.060800000000,   0.34640,
Firmware Version,FV:v22.11,,  -0.060600000000,   0.34720,
,,,-00.060400000000,   0.34640,
,,,-00.060200000000,   0.34560,
,,,-00.060000000000,   0.34680,
,,,-00.059800000000,   0.34640,
,,,-00.059600000000,   0.34640,
,,,-00.059400000000,   0.34680,
,,,-00.059200000000,   0.34640,
,,,-00.059000000000,   0.34600,
,,,-00.058800000000,   0.34640,
,,,-00.058600000000,   0.34600,
,,,-00.058400000000,   0.34680,
,,,-00.058200000000,   0.34680,
,,,-00.058000000000,   0.34640,
,,,-00.057800000000,   0.34640,
,,,-00.057600000000,   0.34600,
,,,-00.057400000000,   0.34680,
,,,-00.057200000000,   0.34680,
,,,-00.057000000000,   0.34640,
,,,-00.056800000000,   0.34720,
,,,-00.056600000000,   0.34680,
,,,-00.056400000000,   0.34640,
,,,-00.056200000000,   0.34640,
,,,-00.056000000000,   0.34600,
,,,-00.055800000000,   0.34680,
,,,-00.055600000000,   0.34720,
,,,-00.055400000000,   0.34680,
,,,-00.055200000000,   0.34640,
,,,-00.055000000000,   0.34680,
,,,-00.054800000000,   0.34680,
,,,-00.054600000000,   0.34720,
,,,-00.054400000000,   0.34680,
,,,-00.054200000000,   0.34680,
,,,-00.054000000000,   0.34680,
,,,-00.053800000000,   0.34720,
,,,-00.053600000000,   0.34640,
,,,-00.053400000000,   0.34680,
,,,-00.053200000000,   0.34640,
,,,-00.053000000000,   0.34640,
,,,-00.052800000000,   0.34640,
,,,-00.052600000000,   0.34600,
,,,-00.052400000000,   0.34680,
,,,-00.052200000000,   0.34600,
,,,-00.052000000000,   0.34640,
,,,-00.051800000000,   0.34680,
,,,-00.051600000000,   0.34640,
,,,-00.051400000000,   0.34640,
,,,-00.051200000000,   0.34680,
,,,-00.051000000000,   0.34680,
,,,-00.050800000000,   0.34640,
,,,-00.050600000000,   0.34640,
,,,-00.050400000000,   0.34640,
,,,-00.050200000000,   0.34680,
,,,-00.050000000000,   0.34640,
,,,-00.049800000000,   0.34680,
,,,-00.049600000000,   0.34680,
,,,-00.049400000000,   0.34680,
,,,-00.049200000000,   0.34720,
,,,-00.049000000000,   0.34720,
,,,-00.048800000000,   0.34680,
,,,-00.048600000000,   0.34680,
,,,-00.048400000000,   0.34720,
,,,-00.048200000000,   0.34600,
,,,-00.048000000000,   0.34680,
,,,-00.047800000000,   0.34640,
,,,-00.047600000000,   0.34680,
,,,-00.047400000000,   0.34640,
,,,-00.047200000000,   0.34600,
,,,-00.047000000000,   0.34640,
,,,-00.046800000000,   0.34680,
,,,-00.046600000000,   0.34760,
,,,-00.046400000000,   0.34640,
,,,-00.046200000000,   0.34720,
,,,-00.046000000000,   0.34680,
,,,-00.045800000000,   0.34680,
,,,-00.045600000000,   0.34640,
,,,-00.045400000000,   0.34640,
,,,-00.045200000000,   0.34640,
,,,-00.045000000000,   0.34640,
,,,-00.044800000000,   0.34640,
,,,-00.044600000000,   0.34680,
,,,-00.044400000000,   0.34600,
,,,-00.044200000000,   0.34640,
,,,-00.044000000000,   0.34680,
,,,-00.043800000000,   0.34680,
,,,-00.043600000000,   0.34640,
,,,-00.043400000000,   0.34640,
,,,-00.043200000000,   0.34680,
,,,-00.043000000000,   0.34680,
,,,-00.042800000000,   0.34600,
,,,-00.042600000000,   0.34600,
,,,-00.042400000000,   0.34640,
,,,-00.042200000000,   0.34640,
,,,-00.042000000000,   0.34640,
,,,-00.041800000000,   0.34680,
,,,-00.041600000000,   0.34640,
,,,-00.041400000000,   0.34600,
,,,-00.041200000000,   0.34720,
,,,-00.041000000000,   0.34640,
,,,-00.040800000000,   0.34640,
,,,-00.040600000000,   0.34640,
,,,-00.040400000000,   0.34640,
,,,-00.040200000000,   0.34600,
,,,-00.040000000000,   0.34640,
,,,-00.039800000000,   0.34760,
,,,-00.039600000000,   0.34760,
,,,-00.039400000000,   0.34680,
,,,-00.039200000000,   0.34640,
,,,-00.039000000000,   0.34680,
,,,-00.038800000000,   0.34680,
,,,-00.038600000000,   0.34680,
,,,-00.038400000000,   0.34640,
,,,-00.038200000000,   0.34680,
,,,-00.038000000000,   0.34640,
,,,-00.037800000000,   0.34600,
,,,-00.037600000000,   0.34720,
,,,-00.037400000000,   0.34680,
,,,-00.037200000000,   0.34680,
,,,-00.037000000000,   0.34640,
,,,-00.036800000000,   0.34600,
,,,-00.036600000000,   0.34680,
,,,-00.036400000000,   0.34600,
,,,-00.036200000000,   0.34640,
,,,-00.036000000000,   0.34600,
,,,-00.035800000000,   0.34680,
,,,-00.035600000000,   0.34640,
,,,-00.035400000000,   0.34600,
,,,-00.035200000000,   0.34680,
,,,-00.035000000000,   0.34640,
,,,-00.034800000000,   0.34640,
,,,-00.034600000000,   0.34640,
,,,-00.034400000000,   0.34680,
,,,-00.034200000000,   0.34720,
,,,-00.034000000000,   0.34640,
,,,-00.033800000000,   0.34640,
,,,-00.033600000000,   0.34680,
,,,-00.033400000000,   0.34680,
,,,-00.033200000000,   0.34600,
,,,-00.033000000000,   0.34640,
,,,-00.032800000000,   0.34800,
,,,-00.032600000000,   0.34720,
,,,-00.032400000000,   0.34720,
,,,-00.032200000000,   0.34640,
,,,-00.032000000000,   0.34680,
,,,-00.031800000000,   0.34680,
,,,-00.031600000000,   0.34680,
,,,-00.031400000000,   0.34640,
,,,-00.031200000000,   0.34680,
,,,-00.031000000000,   0.34600,
,,,-00.030800000000,   0.34640,
,,,-00.030600000000,   0.34680,
,,,-00.030400000000,   0.34640,
,,,-00.030200000000,   0.34720,
,,,-00.030000000000,   0.34640,
,,,-00.029800000000,   0.34640,
,,,-00.029600000000,   0.34640,
,,,-00.029400000000,   0.34640,
,,,-00.029200000000,   0.34600,
,,,-00.029000000000,   0.34600,
,,,-00.028800000000,   0.34720,
,,,-00.028600000000,   0.34640,
,,,-00.028400000000,   0.34720,
,,,-00.028200000000,   0.34680,
,,,-00.028000000000,   0.34600,
,,,-00.027800000000,   0.34680,
